"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LBPQ6T4M","journalArticle","2018","Kalantari, F.; Tahir, O. M.; Joni, R. A.; Fatemi, E.","Opportunities and challenges in sustainability of vertical farming: A review","Journal of Landscape …","","","10.1515/jlecol-2017-0016","https://sciendo.com/article/10.1515/jlecol-2017-0016","… Vertical farming in urban areas. This study, in an attempt to review the major opportunities and challenges of Vertical Farming, uses the framework of sustainability … Vertical Farming can …","2018","2023-11-07 10:40:35","2023-11-07 10:40:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z7PA4WSX","journalArticle","2019","Jürkenbeck, K.; Heumann, A.; Spiller, A.","Sustainability matters: Consumer acceptance of different vertical farming systems","Sustainability","","","","https://www.mdpi.com/2071-1050/11/15/4052","… vertical farming is difficult because their production methods considerably differ. For a better evaluation of the sustainability of vertical farming, … conditions of vertical farming. Studies that …","2019","2023-11-07 10:40:35","2023-11-07 10:40:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JVYPCF3","journalArticle","2020","Santiteerakul, S.; Sopadang, A.; ...","The role of smart technology in sustainable agriculture: A case study of wangree plant factory","Sustainability","","","","https://www.mdpi.com/2071-1050/12/11/4640","… that the plant factory with artificial system enhances the sustainability performance in all economic, environmental, and social perspectives. The isolated environment of the plant factory …","2020","2023-11-07 10:40:35","2023-11-07 10:40:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6LT6HYPI","journalArticle","2020","Chatterjee, A.; Debnath, S.; Pal, H.","Implication of urban agriculture and vertical farming for future sustainability","Urban horticulture-Necessity of …","","","","https://books.google.com/books?hl=en\&lr=\&id=hEv9DwAAQBAJ\&oi=fnd\&pg=PA157\&dq=%22life+cycle+assessment%22%7Csustainability%7Csustainable+%22vertical+farming%22%7C%22vertical+farm%22%7C%22plant+factory%22\&ots=9LngKsw43h\&sig=Vc7WDxKTYgivfbNtcP-CA9dAXFE","… and social urban sustainability. Therefore, UA contributes to the sustainability of cities in various … agricultural production in the urban surroundings is the vertical farming (VF) or high-rise …","2020","2023-11-07 10:40:35","2023-11-07 10:40:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FRIJHLDR","journalArticle","2020","Avgoustaki, D. D.; Xydis, G.","How energy innovation in indoor vertical farming can improve food security, sustainability, and food safety?","Advances in food security and sustainability","","","","https://www.sciencedirect.com/science/article/pii/S2452263520300021","… vertical farming focusing on the challenges and the opportunities for each category. The scope of this work was to stress the role of indoor vertical farming … to the vertical farm owners not …","2020","2023-11-07 10:40:35","2023-11-07 10:40:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XU3VK7TR","journalArticle","2021","Gerrewey, T. Van; Boon, N.; Geelen, D.","Vertical farming: The only way is up?","Agronomy","","","","https://www.mdpi.com/2073-4395/12/1/2","… is required to make vertical farming environmentally sustainable. This transition is already happening, and a survey on the state of the vertical farming industry indicated that participants …","2021","2023-11-07 10:40:35","2023-11-07 10:40:35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZCD6AWF","journalArticle","2018","Monteiro, J.; Barata, J.; Veloso, M.; ...","Towards sustainable digital twins for vertical farming","… Conference on Digital …","","","","https://ieeexplore.ieee.org/abstract/document/8847169/","… of the vertical farm environment through IoT will make it possible to efficiently and sustainably produce different types of crops. This has particular importance in vertical farming. In this …","2018","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M45AKPPP","journalArticle","2018","Zhang, H.; Asutosh, A.; Hu, W.","Implementing vertical farming at university scale to promote sustainable communities: a feasibility analysis","Sustainability","","","","https://www.mdpi.com/2071-1050/10/12/4429","… and financial outcome using vertical farming. This could lead the … This study looks at the approach to vertical farming and how … We believe that vertical farming and sustainable urban …","2018","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCS2SCWZ","journalArticle","2022","Bunge, A. C.; Wood, A.; Halloran, A.; Gordon, L. J.","A systematic scoping review of the sustainability of vertical farming, plant-based alternatives, food delivery services and blockchain in food systems","Nature food","","","","https://www.nature.com/articles/s43016-022-00622-8","… Gaps in the literature include empirical assessments on the sustainability of blockchain … consequences of vertical farming. The development of a holistic sustainability assessment …","2022","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3RSP9JA","journalArticle","2021","Zhang, Z.; Rod, M.; Hosseinian, F.","A comprehensive review on sustainable industrial vertical farming using film farming technology","Sustainable Agriculture …","","","","https://ageconsearch.umn.edu/record/309798/","… These findings along with the increased food safety and sustainability of the vertical farming model provides credibility in the products claims to be disruptive in the food market and …","2021","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LLP5CP8","journalArticle","2018","Pascual, M. P.; Lorenzo, G. A.; Gabriel, A. G.","Vertical farming using hydroponic system: Toward a sustainable onion production in Nueva Ecija, Philippines","Open Journal of Ecology","","","","https://www.scirp.org/html/3-1380876_81678.htm","… vertical farming and hydroponics as a viable system of producing onion. Investigate on the possibility of adopting vertical farming … may the need for a sustainable system of production of …","2018","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2ZEAPI2","journalArticle","2023","Paucek, I.; Durante, E.; Pennisi, G.; Quaini, S.; ...","A methodological tool for sustainability and feasibility assessment of indoor vertical farming with artificial lighting in Africa","Scientific Reports","","","","https://www.nature.com/articles/s41598-023-29027-8","… sustainable use of water and mineral nutrients. The present study assesses the potential for vertical farming … the countries where a more sustainable approach could be achieved. A …","2023","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXR6JIIU","journalArticle","2020","Avgoustaki, D. D.; Xydis, G.","Indoor vertical farming in the urban nexus context: Business growth and resource savings","Sustainability","","","","https://www.mdpi.com/2071-1050/12/5/1965","… in providing the most sustainable and efficient food … sustainability, including how to optimize energy efficiency to meet the needs of citizens and companies. Indoor urban vertical farming …","2020","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSBEAV7F","journalArticle","2023","Martin, M.; Elnour, M.; Siñol, A. C.","Environmental life cycle assessment of a large-scale commercial vertical farm","Sustainable Production and Consumption","","","","https://www.sciencedirect.com/science/article/pii/S2352550923001525","… commercial vertical farm in Sweden producing packaged lettuce. Life cycle assessment was … The results from the study suggest that the vertical farm has lower GHG emissions than …","2023","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGRJP8SQ","journalArticle","2019","Huang, L. C.","Consumer attitude, concerns, and brand acceptance for the vegetables cultivated with sustainable plant factory production systems","Sustainability","","","","https://www.mdpi.com/2071-1050/11/18/4862","… potential of sustainable plant factory production systems with … created via the sustainable plant factory production systems … generally perceived the plant factory vegetables as “safe” and “…","2019","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66H2TI9Q","journalArticle","2023","Haibo, Y.; Lei, Z.; Haiye, Y.; Yucheng, L.; Chunhui, L.; ...","Sustainable Development Optimization of a Plant Factory for Reducing Tip Burn Disease","Sustainability","","","","https://www.mdpi.com/2071-1050/15/6/5607","… plant factories that severely restricts the sustainable development of these factories. This … In this study, a three-dimensional simulation plant factory model was created to simulate the …","2023","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMYI6UD3","book","2019","Kozai, T.; Niu, G.; Takagaki, M.","Plant factory: an indoor vertical farming system for efficient quality food production","","","","","https://books.google.com/books?hl=en\&lr=\&id=z-C7DwAAQBAJ\&oi=fnd\&pg=PP1\&dq=%22life+cycle+assessment%22%7Csustainability%7Csustainable+%22vertical+farming%22%7C%22vertical+farm%22%7C%22plant+factory%22\&ots=zDtgALpjbu\&sig=zamwbDj-vkNYpvuyRPoUsyO_cUo","… of plant factory (PF) practices to yield food crops for both improved food security and environmental sustainability. … and its application in indoor vertical farming, other revisions to the …","2019","2023-11-07 10:40:36","2023-11-07 10:40:36","","","","","","","","","","","","","books.google.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
