"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XZ8U36KU","book","2021","Sabry, F","Vertikale Landwirtschaft: Wie sollen wir die drei weiteren Milliarden Menschen bis 2050 ernähren?","","","","","https://books.google.com/books?hl=en&lr=&id=686UEAAAQBAJ&oi=fnd&pg=PT354&dq=nachhaltigkeit%7Cnachhaltig+landwirtschaft+%22vertical+farming%22%7C%22vertical+farm%22&ots=zXagPdpEXl&sig=JEG2UPU3wBXtG5LXGwskuH8qx2o","… mehr Antworten auf neue Fragen zu ""Vertical Farming"" aktualisiert,die von Menschen wie … Landwirtschaft ist zu groß und invasiv, um für zukünftige Generationen nachhaltig zu sein. …","2021","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","","","","","","","Query date: 2023-09-12 11:59:37","","","books.google.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7JQVMVC","journalArticle","","Salbrechter, S","Stadt und Landwirtschaft: eine Beziehung mit Zukunft?/vorgelegt von Stefanie Salbrechter","unipub.uni-graz.at","","","","http://unipub.uni-graz.at/obvugrhs/4825102","… It can appear as a vertical farm, allotment garden, balcony garden, rooftop farm, community … 192) kann die Nachhaltigkeit einer Stadt durch die urbane Landwirtschaft positiv beeinflusst …","","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCC6WQUW","journalArticle","2014","Watson, R; Watson, R","Präzisionslandwirtschaft","50 Schlüsselideen der Zukunft","","","10.1007/978-3-642-40744-4_9","https://link.springer.com/chapter/10.1007/978-3-642-40744-4_9","… In der Realität aber werden wir wohl sehr viel früher fahrerlose landwirtschaftliche … zur Überwachung von Tieren in landwirtschaftlichen Großbetrieben bereits heute Video-Verfahren …","2014","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3FN6Z2Y","journalArticle","2018","Schneidewind, U; Bohnenberger, K; Haake, H; Kopatz, M","Neue Stadtökonomie für Gesundheit und eine Transformation zur Nachhaltigkeit","","","","","https://epub.wupperinst.org/files/7164/7164_Schneidewind.pdf","… Die Themen ökologische Nachhaltigkeit und Gesundheit sind eng miteinander verzahnt. Der Klimawandel beispielsweise hat Auswirkungen auf die Gesundheit von Menschen: …","2018","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: epub.wupperinst.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M66EQXDD","journalArticle","2021","Wittmann, S; Jüttner, I; Spence, M; Mempel, H","Indoor Vertical Farming: konsequente Weiterentwicklung des ge-schützten Anbaus","","","","","https://leopard.tu-braunschweig.de/servlets/MCRFileNodeServlet/dbbs_derivate_00048124/jahrbuchagrartechnik2020_gewaechshaustechnik.pdf","… Zudem steigt das Risiko, dass durch den Klimawandel aufgrund zunehmender Bodendegradation die landwirtschaftliche Nutzfläche vor allem in Gebieten ohne zusätzliche …","2021","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: leopard.tu-braunschweig.de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIZSJBGG","journalArticle","2023","Feldmann, F; Quambusch, M; Vogler, U","Urbane Landwirtschaft in der grünen Infrastruktur: Bericht vom 12. Fachsymposium Stadtgrün","Journal für Kulturpflanzen","","","","https://www.researchgate.net/profile/Falko-Feldmann-2/publication/369734945_Urbane_Landwirtschaft_in_der_grunen_Infrastruktur/links/64299c3592cfd54f844a165f/Urbane-Landwirtschaft-in-der-gruenen-Infrastruktur.pdf","… Landwirtschaft, die Indoor und Vertical farming Ansätze, einschließlich der Aquakultur und Hydroponik. Weder letztere, Altbauten nutzend, stellen eine unbedingte Flächenkonkurrenz …","2023","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: researchgate.net","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QB7KYASV","journalArticle","","Mader, A","Landwirtschaft und Lebensmittelindustrie im Wandel: zwischen biologischer Landwirtschaft und grüner Gentechnik/vorgelegt von Anne Mader","unipub.uni-graz.at","","","","http://unipub.uni-graz.at/obvugrhs/5555752","… die präsentesten Formen der Landwirtschaft, die jeweiligen … die biologische und konventionelle Landwirtschaft sowie der … Strategien die ökologische Landwirtschaft bietet. Anschließend …","","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8QGYQT9","journalArticle","2023","Bahlmann, J; Biber, A; Wirsam, J","Revolution durch Alternative Food–globaler Ernährungssektor vor massiver Disruption","Nachhaltigkeit und Innovation in internen …","","","10.1007/978-3-658-41618-8_1","https://link.springer.com/chapter/10.1007/978-3-658-41618-8_1","… Technikgestützte Ansätze sind in Zukunft ausschlaggebend, um eine landwirtschaftliche Entwicklung effizient und nachhaltig zu gestalten. Speziell Innovationen aus den Bereichen …","2023","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z32M2USH","journalArticle","2021","Heins, J","Der Einfluss von"" Vertical Farming"" auf die Nahrungsmittelerzeugung in einer urbanisierten Welt","","","","","","","2021","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","Publisher: GRIN Verlag","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHECZFGE","journalArticle","","Wolff, L",""" Alle Sorge ist Sorge um das Gehäuse"": Ko-Immunität, Vertical Farming und die Technopolitik geschlossener Umwelten","Deutsche Nationalbibliothek","","","","","","","2023-11-07 10:40:01","2023-11-07 10:40:01","","","","Query date: 2023-09-12 11:59:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
