"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S6KB4RWX","journalArticle","2022","Blom, T.; Jenkins, A.; Pulselli, R. M.; van den Dobbelsteen, A. A. J. F.","The embodied carbon emissions of lettuce production in vertical farming, greenhouse horticulture, and open-field farming in the Netherlands","Journal of Cleaner Production","","0959-6526","10.1016/j.jclepro.2022.134443","https://www.sciencedirect.com/science/article/pii/S095965262204015X","Over the past decades, various farming methods have evolved in response to the global challenges of increasing food demands, decreasing availability of arable land, and climate change. One of these new farming methods is vertical farming. To understand the contribution of vertical farms to future sustainable food production, beyond its efficient land-use and high yields, this paper evaluates the current carbon footprint of lettuce produced in an operational vertical farm in comparison to conventional open-field farming and both soil-based and hydroponic greenhouse cultivation in the Netherlands. The assessment includes the greenhouse gas emissions of the life cycle of the farm and the crop, from cradle-to-grave. An alternative scenario is explored to include the lost carbon sequestration potential by land-use change, identical packaging for all farming methods, and renewable energy usage. The carbon footprint of the vertical farm was 5.6–16.7 times greater than that of the conventional farming methods in the baseline scenario and 2.3 to 3.3 times in the alternative scenario. The electricity demands of the vertical farm represented 85% of the carbon footprint in the baseline scenario and 66% in the alternative scenario, suggesting that a significant reduction in electricity use is required to compete with conventional farming methods from a carbon footprint perspective. If this could be achieved, vertical farming could become a valid component of future sustainable and food secure systems by its efficient use of land, high yields, minimal use of water, nutrients, pesticides and herbicides, and the ability to be located within or adjacent to cities.","2022-12-01","2023-11-07 10:41:53","2023-11-07 10:41:53","2023-08-24 11:57:24","134443","","","377","","Journal of Cleaner Production","","","","","","","","","","","","","ScienceDirect","","","","","","Vertical farming; LCA; Sustainable agriculture; Carbon footprint; Renewable energy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4DDUVDBC","bookSection","2023","Kumar, Rakesh; Rathore, Shalika; Kundlas, Kanchan; Rattan, Shiv; Warghat, Ashish R.","Chapter 8 - Vertical farming and organic farming integration: a review","Organic Farming (Second Edition)","978-0-323-99145-2","","","https://www.sciencedirect.com/science/article/pii/B9780323991452000021","As the global population expands and food demand increases, the agricultural sector faces increased duress for better yield production. Furthermore, agricultural land is already lost due to urbanization infrastructure advancement, leading to farmland shortages. The artificial control of light, temperature, gases, and humidity allows indoor plant production. Vertical farming’s primary goal is to maximize crop output in a small space. Vertical farming has the potential to produce food in a climate-resilient manner while emitting no pesticides and fertilizers, additionally using reduced land and water than conventional farming. Vertical farming systems, particularly around heavily populated areas, can meet everyday consumer needs for fresh, nutritious products and, at the same time, also contribute to resilient food systems. This system at present grows a narrow crop range, such as vegetables, herbs, and fruits. However, successful vertical farming integration into conventional agriculture demands profitability improvement, efficient energy utilization, end-user acceptance, and communal policy. In the present chapter, vertical farming is discussed as an indoor multilayer crop production system, investigating future challenges in the area of plant growth, quality, environmental sustainability, automation, system control, and socioeconomic and policy-associated institutions must collaborate to make certain successful vertical farming and organic farming integration into future food systems.","2023-01-01","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:25","291-315","","","","","","Chapter 8 - Vertical farming and organic farming integration","Woodhead Publishing Series in Food Science, Technology and Nutrition","","","","Woodhead Publishing","","","","","","","ScienceDirect","","","","","","Hydroponic; aeroponics; nutrient solution; soilless cultivation","","Sarathchandran; M.r., Unni; Thomas, Sabu; Meena, D. K.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFSDI9LQ","journalArticle","2023","Arabzadeh, Vahid; Miettinen, Panu; Kotilainen, Titta; Herranen, Pasi; Karakoc, Alp; Kummu, Matti; Rautkari, Lauri","Urban vertical farming with a large wind power share and optimised electricity costs","Applied Energy","","0306-2619","10.1016/j.apenergy.2022.120416","https://www.sciencedirect.com/science/article/pii/S0306261922016737","Producing food in an environmentally sustainable way for the growing human population is a challenge to the global food system. Vertical farm (VF) as a part of the solution portfolio is attracting interest since it uses less water, pesticides, and land which are scarce in many parts of the globe. Despite these positive factors, the energy demand for vertical farms is high, and farms often remain separate and excluded from cities where most of the population lives. City-level energy system solutions exist to empower energy efficiency and increase the share of variable renewable energy sources, but their potential has not yet been estimated for an urban energy system that includes large vertical farms. Accordingly, in this study, we simulate an urban energy system that practices vertical farming with large-scale variable renewable energies and flexibility measures. For the first part of the study, we modelled a vertical farm's energy system with demand response control to maximize electricity cost savings. To evaluate the potential of demand response, the analysis is carried out for different crops (lettuce, wheat, and soybean), and different electricity price profiles. The result of demand response control can be a reduction of 5% to 30% in electricity consumption costs. Further, sensitivity analyses highlight the effect of electricity price variations and photoperiod on demand response outcomes. In the second part, the operation of an urban energy system (Helsinki, Finland) with vertical farms was analysed through two different scenarios. These scenarios represent the emission-free Helsinki energy system in 2050 with large-scale wind power implementation. As VFs can use electricity outside the peak demand hours, the inclusion of VF with the right energy system configuration can improve the power consumption within the system by up to 19%. Further, we show that connection to the exogenous power market is important to support vertical farming in the future energy systems. In this study, key points in the integration of VF in urban energy systems are highlighted, including the role of exogenous power markets, the potential for increasing local energy consumption with large wind power, and the importance of crop selection in reducing VF's energy costs through demand response. In a city-level solution with a high wind power share, we thus recommend including a vertical farm side by strong sectoral coupling as part of the future design to maximise local consumption.","2023-02-01","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:25","120416","","","331","","Applied Energy","","","","","","","","","","","","","ScienceDirect","","","","","","Vertical farming; CO emissions; Demand response; Electricity price; Urban energy system; Wind power","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HAXLDLY","journalArticle","2021","Weidner, Till; Yang, Aidong; Hamm, Michael W.","Energy optimisation of plant factories and greenhouses for different climatic conditions","Energy Conversion and Management","","0196-8904","10.1016/j.enconman.2021.114336","https://www.sciencedirect.com/science/article/pii/S0196890421005124","The trend to localise food production promises reduced reliance on increasingly uncertain global supply chains. Controlled-environment agriculture, in particular indoor vertical farming, is developing as part of this trend, to ensure a year-round supply of healthy food and protection from extreme weather events. However, high energy consumption is a major concern that could greatly impact the environmental sustainability of high-tech farms. Addressing the lack of comprehensive comparisons between different controlled-environment agriculture systems on a consistent basis, this work investigates the favourability of indoor vertical farms (i.e. plant factories) over modern ventilated open and closed greenhouses from an energy intensity perspective. This was based on a flexible yield-energy model incorporating detailed air conditioning system dynamics, which was developed to evaluate the influence of outside climate conditions on energy consumption and vegetable yield. The model was used to optimise the climate control strategy and to minimise hourly specific energy consumption for multiple systems, parameter settings, and locations. The hourly model performance is demonstrated for Stockholm, which indicates that advanced climate control allows for very low-energy operations in summer compared to winter. The results show a strong parametric sensitivity for the thermal transmittance of the cover, the target light intensity and the crop climate preference in all three systems, as well as the efficiency of lighting and water cooling for plant factories. Considering the yearly average for multiple locations, open greenhouses were substantially more energy-efficient than plant factories in all ten locations (from −45% in Reykjavík to −94% in Gauteng). The option to ventilate a greenhouse (open vs closed) had the greatest positive effect on specific energy consumption in less extreme climates (from −36% in Massachusetts to −83% in Gauteng) but increased water consumption considerably (from an average of ~2 l/kg to 26 l/kg). Although local availability of land and water plays a significant role in the choice between growing systems, the results imply that high-tech ventilated greenhouses perform significantly better than vertical farms from an energy perspective in most inhabited regions of the planet.","2021-09-01","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:26","114336","","","243","","Energy Conversion and Management","","","","","","","","","","","","","ScienceDirect","","","","","","Climate control; Controlled-environment-agriculture; Multivariate optimisation; Specific energy; Vegetable supply; Vertical farming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPTZ9GDR","journalArticle","2022","Song, Shuang; Hou, Yujun; Lim, Rayson B. H.; Gaw, Leon Y. F.; Richards, Daniel R.; Tan, Hugh T. W.","Comparison of vegetable production, resource-use efficiency and environmental performance of high-technology and conventional farming systems for urban agriculture in the tropical city of Singapore","Science of The Total Environment","","0048-9697","10.1016/j.scitotenv.2021.150621","https://www.sciencedirect.com/science/article/pii/S0048969721056990","Urban farming can improve cities’ food security and resilience, but the performance of different farming systems with respect to land and investment constraints has not been systematically investigated. Here, we compared conventional soil-based farming, vertical farming with natural lighting (Vnat), and indoor vertical farming. This study aimed to compare (1) the dynamic production of leafy vegetables over time given the same amount of investment and land constraints, (2) the associated water and energy use, and (3) the global warming potential (GWP) of the urban farming sector if each of the three farming systems was solely used in the tropical city-state of Singapore. A system dynamics (SD) model was constructed to map the potential quantity of leafy vegetables produced, together with the water and energy use of each farming system. The land and monetary investment constraints were set at an additional 0.3% of the total land area of Singapore and an annual investment of SGD 10–20 million (0.001–0.005% of Singapore's annual GDP). Vnat farming was predicted to have the highest production level (110,000 t) and self-sufficiency (76.9% of total demand) by 2050 based on the SD model. This would be >3 times the self-sufficiency level achieved by indoor and soil-based farming systems given the same investment and land constraints. Indoor farming was simulated to use <14% the land area of Vnat while soil-based farming exhausted the additional 0.3% of the land allocated. Indoor farming was also the most energy intensive system, requiring 100 times more than Vnat farming. Comparison of the GHG emission rates showed that indoor farming had the greatest GWP—at 2.51 kg CO2-eq per kg of lettuce produced. Our results suggest that Vnat farming may be the best form of urban farming system to provide large amounts of food in Singapore, considering the production level, the amount of resources used, and the environmental impacts.","2022-02-10","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:26","150621","","","807","","Science of The Total Environment","","","","","","","","","","","","","ScienceDirect","","","","","","Controlled environment agriculture; Life cycle assessment; Soil-based farming; System dynamics; Vertical farming with natural lighting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86HJWT69","bookSection","2020","Avgoustaki, Dafni Despoina; Xydis, George","Chapter One - How energy innovation in indoor vertical farming can improve food security, sustainability, and food safety?","Advances in Food Security and Sustainability","","","","https://www.sciencedirect.com/science/article/pii/S2452263520300021","Food safety is an important scientific field, but at the same time a discussion topic of modern society that occupies more and more space of our every day time, dealing with the preparation of food, with its nutritious value, and various transportation and storage ways aiming at preventing food-related sickness. This work compares traditional farming with greenhouses and indoor vertical farming focusing on the challenges and the opportunities for each category. The scope of this work was to stress the role of indoor vertical farming towards this direction. Indoor vertical farms can produce high quality and virus-free products that can be locally distributed, inside the urban environment that such investments take place, saving annually millions of tons CO2 emissions. Beyond that, in this work it was pointed out how energy plays a role in food safety in such systems. It was stressed that indoor vertical farms can act as a demand response aggregator. In large scale units it could play a role to adjust their production according to different electricity prices offered in different time zones throughout the day. This way, the owners under a multi-value business model will create the opportunity to the vertical farm owners not only to improve their production but at the same time absorb inexpensive electricity offered, by creating an additional profit mechanism (multiple revenue streams) under such an approach by entering into contracts with companies in a utility electric region.","2020-01-01","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:27","1-51","","","5","","","","","","","","Elsevier","","","","","","","ScienceDirect","","","","","","Electricity prices; Energy innovation; Hydroponic systems; Indoor farming; Land use efficiency","","Cohen, Marc J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCHC89B6","journalArticle","2023","Kumar, S; Yadav, Vineet Kumar","An integrated literature review on Urban and peri-urban farming: Exploring research themes and future directions","Sustainable Cities and Society","","2210-6707","10.1016/j.scs.2023.104878","https://www.sciencedirect.com/science/article/pii/S2210670723004894","In recent years, Urban and peri-urban farming (UPF) research has experienced significant growth, but a comprehensive global overview is lacking. This study examined UPF research from 2002 to 2022 using an integrated literature review approach, including systematic literature review, bibliometric analysis, and thematic assessment. Analyzing 1,257 articles from the Web of Science database with Vosviewer and Bibliometrix, key keywords identified in the literature were urban agriculture, food security, local food systems, community gardens, and sustainable agriculture. Prominent research trends included the Internet of Things (IoT), resilience, Controlled environment agriculture (CEA), plant factories, Life cycle assessment (LCA), and vertical farming. Publications by US-affiliated authors received higher citations, and co-authorship collaborations from China, India, and Brazil were observed in UPF research network. Notable institutions with significant contributions and collaboration links in UPF research were the University Autonoma de Barcelona, the University of Kassel, and the National University of Singapore. This study's findings offer valuable insights for researchers and policymakers in the food and agriculture industry, providing a comprehensive overview of the UPF domain and suggesting future research directions. This review advances urban farming practices, informing decision-making processes, research priorities and developing the policies and initiatives to foster resilient and sustainable urban farming.","2023-08-20","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:28","104878","","","","","Sustainable Cities and Society","An integrated literature review on Urban and peri-urban farming","","","","","","","","","","","","ScienceDirect","","","","","","bibliometric analysis; literature review; thematic mapping; Urban and peri-urban farming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSVBN36Z","journalArticle","2022","Kobayashi, Yumi; Kotilainen, Titta; Carmona-García, Gema; Leip, Adrian; Tuomisto, Hanna L.","Vertical farming: A trade-off between land area need for crops and for renewable energy production","Journal of Cleaner Production","","0959-6526","10.1016/j.jclepro.2022.134507","https://www.sciencedirect.com/science/article/pii/S0959652622040793","Indoor vertical farming (VF) may play an important role in tackling future food insecurity as it can reduce the land use requirements for crop land and is not affected by environmental conditions. However, its energy-intensive operation and the associated environmental impacts can be a cause for concern. To alleviate these issues, it is desirable to operate VF with renewable energy. Our aim was to investigate the land use requirements for generating renewable energy for VF and whether the land area saved by growing crops in multiple layers is sufficient for energy production. The land area requirements for wind and solar (photovoltaic, PV) energy were assessed for lettuce, tomato, potato and wheat production in VF systems in Spain and Sweden. In addition to current-technology scenarios, future scenarios for technological advancement in VF systems and renewable energy generation were included. The results showed that with current technologies, the saved land area was sufficient to produce enough energy only in the case of using PV for lettuce production. However, with improved technologies, the saved land area was sufficient to produce electricity with PV for all crops except tomatoes in Sweden. In contrast, wind energy only satisfies lettuce production, even with future technologies. This study serves as a guideline for determining the feasibility of VF operated with renewable energy in relation to land area, electricity requirements and renewable electricity generation potential in various regions of Europe.","2022-12-15","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:29","134507","","","379","","Journal of Cleaner Production","Vertical farming","","","","","","","","","","","","ScienceDirect","","","","","","Vertical farming; Land use; Photovoltaic; Renewable energy; Wind energy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZAIR56W","journalArticle","2022","Jaeger, Sara R.; Chheang, Sok L.; Ares, Gastón","Text highlighting as a new way of measuring consumers' attitudes: A case study on vertical farming","Food Quality and Preference","","0950-3293","10.1016/j.foodqual.2021.104356","https://www.sciencedirect.com/science/article/pii/S095032932100238X","Attitude measurement occupies a central position in consumer research. Concerns over the validity and reliability of traditional measures have motivated the development of alternative approaches. The present research introduces text highlighting as a method for measurement of explicit attitudes using a case study on vertical farming (VF) with 837 UK consumers. They participated in an online survey, where they read a text about VF and used highlighting functions to mark text as ‘like’ and ‘dislike.’ Consumers approached the task in a systematic and logical way and desirable aspects of VF were frequently highlighted as ‘like’, whereas undesirable aspects were more frequently highlighted as ‘dislike’. The text highlighting responses were summarised using word clouds, frequency tables and through sentiment scores to reveal an overall positive attitude to VF among participants. Sentiment scores enabled the identification of consumer segments with interpretable differences in their attitude towards VF. Two approaches to method validation – comparison with direct attitude questions and consumer profiling – further confirmed the potential of the text highlighting method. The sentiment of specific sentences in the text highlighting task matched results from self-reported attitudinal based on Likert scales. Consumer segments with different sentiment in the text highlighting task also differed in their food technology neophobia scores in the expected direction. Future research should investigate methodological aspects of text highlighting and explore its suitability to other applications.","2022-01-01","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:29","104356","","","95","","Food Quality and Preference","Text highlighting as a new way of measuring consumers' attitudes","","","","","","","","","","","","ScienceDirect","","","","","","Controlled environment agriculture; Vertical farming; Attitude measurement; Explicit attitudes; Research methods; Text data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID8UKA7C","bookSection","2022","Tablada, Abel; Kosorić, Vesna","11 - Vertical farming on facades: transforming building skins for urban food security","Rethinking Building Skins","978-0-12-822477-9","","","https://www.sciencedirect.com/science/article/pii/B9780128224779000152","This chapter deals with the application of vertical farming systems on building facades and their contribution to food security and reduction of carbon footprint in urban areas. These systems have the advantage of using already built surfaces and sunlight in contrast to indoor-controlled environment that consumes valuable space and electricity for lighting and air-conditioning. The aim is to conduct a summary review of vertical farming systems on facades and to highlight their various social, economic and environmental benefits. This is supported by a selection of case studies and actual implementations in diverse latitudes where different technologies are applied to residential, office and commercial buildings achieving various levels of productivity. The concept of productive façade systems and their implementation at the Tropical Technologies Laboratory of the National University of Singapore is explained more in detail. The results of the experiments are promising in terms of the contribution of vertical farming systems on facades to food security and urban resilience. However, further studies and pilot projects are needed, as well as an extensive multidisciplinary cooperation, to overcome some of the operational limitations and to increase the acceptability, thus helping widespread implementation of vertical farming on facades.","2022-01-01","2023-11-07 10:41:54","2023-11-07 10:41:54","2023-08-24 11:57:30","285-311","","","","","","11 - Vertical farming on facades","Woodhead Publishing Series in Civil and Structural Engineering","","","","Woodhead Publishing","","","","","","","ScienceDirect","","","","","","food security; urban agriculture; urban resilience; Building-integrated agriculture; façade farming; façade systems; horticulture; productive facades; sustainable design; vertical farming","","Gasparri, Eugenia; Brambilla, Arianna; Lobaccaro, Gabriele; Goia, Francesco; Andaloro, Annalisa; Sangiorgio, Alberto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
