"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DXHR67NP","journalArticle","2022","Paquet, G.","The agronomic potential of a new vertical growing farming system using biofertilizers and peat-based wood fibre growing medium: lettuce as a case study","Acta Horticulturae","","0567-7572","10.17660/ActaHortic.2022.1355.58","","","2022","2023-11-07 10:42:11","2023-11-07 10:42:11","","455-462","","","1355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRMBKXKN","journalArticle","2022","Mishra, S.","Vertical Cultivation: Moving Towards a Sustainable and Eco-friendly Farming","Biotechnological Innovations for Environmental Bioremediation","","","10.1007/978-981-16-9001-3_20","","","2022","2023-11-07 10:42:11","2023-11-07 10:42:11","","487-507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPKSL648","journalArticle","2022","Martin, M.","Creating expectations and controversies for urban-vertical farming","Acta Horticulturae","","0567-7572","10.17660/ActaHortic.2022.1356.3","","","2022","2023-11-07 10:42:11","2023-11-07 10:42:11","","17-23","","","1356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKKIRPZR","journalArticle","2022","Liu, J.","Sustainability of Vertical Farming in Comparison with Conventional Farming: A Case Study in Miyagi Prefecture, Japan, on Nitrogen and Phosphorus Footprint","Sustainability (Switzerland)","","2071-1050","10.3390/su14021042","","","2022","2023-11-07 10:42:11","2023-11-07 10:42:11","","","","2","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VW6MRQYI","journalArticle","2020","Vempati, A. V.","Agricultural Problems and Technology-Based Sustainable Solutions for an Impoverished Village of Bihar, India","IEEE Region 10 Humanitarian Technology Conference, R10-HTC","","2572-7621","10.1109/R10-HTC49770.2020.9356972","","","2020","2023-11-07 10:42:12","2023-11-07 10:42:12","","","","","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXHDWG6H","journalArticle","2023","Sandison, F.","Does green vertical farming offer a sustainable alternative to conventional methods of production?: A case study from Scotland","Food and Energy Security","","2048-3694","10.1002/fes3.438","","","2023","2023-11-07 10:42:12","2023-11-07 10:42:12","","","","2","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCAF8AIW","journalArticle","2018","Plat, K.","Potential for sustainable urban food production in a medium scale city in Germany","World Sustainability Series","","2199-7373","10.1007/978-3-319-73028-8_13","","","2018","2023-11-07 10:42:12","2023-11-07 10:42:12","","233-260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TDBAIKJC","journalArticle","2021","Jastrzębska, M.","Sustainable agriculture: A challenge for the future","Smart Agrochemicals for Sustainable Agriculture","","","10.1016/B978-0-12-817036-6.00002-9","https://api.elsevier.com/content/article/eid/3-s2.0-B9780128170366000029","","2021","2023-11-07 10:42:12","2023-11-07 10:42:12","","29-56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LENHRE5X","journalArticle","2021","Perambalam, L.","How young consumers perceive vertical farming in the nordics. Is the market ready for the coming boom?","Agronomy","","2073-4395","10.3390/agronomy11112128","","","2021","2023-11-07 10:42:12","2023-11-07 10:42:12","","","","11","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAIXPDK4","journalArticle","2022","Cowan, N.","CEA Systems: the Means to Achieve Future Food Security and Environmental Sustainability?","Frontiers in Sustainable Food Systems","","2571-581X","10.3389/fsufs.2022.891256","","","2022","2023-11-07 10:42:12","2023-11-07 10:42:12","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4APS5P2H","journalArticle","2022","Blom, T.","The embodied carbon emissions of lettuce production in vertical farming, greenhouse horticulture, and open-field farming in the Netherlands","Journal of Cleaner Production","","0959-6526","10.1016/j.jclepro.2022.134443","https://api.elsevier.com/content/article/eid/1-s2.0-S095965262204015X","","2022","2023-11-07 10:42:12","2023-11-07 10:42:12","","","","","377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DADMPCEJ","journalArticle","2022","Song, S.","Comparison of vegetable production, resource-use efficiency and environmental performance of high-technology and conventional farming systems for urban agriculture in the tropical city of Singapore","Science of the Total Environment","","0048-9697","10.1016/j.scitotenv.2021.150621","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969721056990","","2022","2023-11-07 10:42:12","2023-11-07 10:42:12","","","","","807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQ9AQQTK","journalArticle","2018","Liu, N.","Current situation of foreign organic greenhouse horticulture and its inspiration for sustainable development of Chinese protected agriculture","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","","1002-6819","10.11975/j.issn.1002-6819.2018.15.001","","","2018","2023-11-07 10:42:12","2023-11-07 10:42:12","","1-9","","15","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X5WQXEJ9","journalArticle","2019","Gentry, M.","Local heat, local food: Integrating vertical hydroponic farming with district heating in Sweden","Energy","","0360-5442","10.1016/j.energy.2019.02.119","https://api.elsevier.com/content/article/eid/1-s2.0-S0360544219303184","","2019","2023-11-07 10:42:12","2023-11-07 10:42:12","","191-197","","","174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B2F9Z3GM","journalArticle","2019","Jürkenbeck, K.","Sustainability matters: Consumer acceptance of different vertical farming systems","Sustainability (Switzerland)","","2071-1050","10.3390/su11154052","","","2019","2023-11-07 10:42:12","2023-11-07 10:42:12","","","","15","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
