"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"A4FUCZJE","journalArticle","2023","Csambalik, L.; Divéky-Ertsey, A.; Gál, I.; Madaras, K.; ...","Sustainability Perspectives of Organic Farming and Plant Factory Systems—From Divergences towards Synergies","Horticulturae","","","10.3390/horticulturae9080895","https://www.mdpi.com/2311-7524/9/8/895","Closed plant production systems are generally considered sustainable. Such systems are capable of minimizing externalities due to resource recycling. There are two systems, apparently diverging, recently considered as the counterparts of today’s conventional agricultural practice: organic farming (OF) and plant factories (PFs). With a strong regulatory background, OF integrates plant production into natural ecosystems by minimizing agrochemical use, while PFs create an artificial environment where all factors can be fine-tuned according to the needs of the crop. In this study, both systems are investigated based on their similarities and constraints; for this, three pillars of production were selected as indicators and reviewed for sustainability based on literature data: I. regulatory background, II. growing media use, III. species use, along with certain socio-economic factors. The reasons for co-existence were highlighted in every aspect. Alternatives for sustainable growing media use are introduced. PF-targeted species selection and variety breeding are necessary to maximize facility utilization. The main barriers to system interoperability are identified in growing media use and regulatory restrictions. The present global processes envisage the trends of the future, such as threats of living ecosystems, plant species allocation, urbanization impacts, agricultural intensification, economics of PFs, local supply chains, education about OF and PFs, consumer acceptance of OF and PF products, and discrepancies in global regulations. These aspects will certainly trigger further research in the scientific community","2023","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIWWVFUV","journalArticle","2022","Fussy, A.; Papenbrock, J.","An overview of soil and soilless cultivation techniques—chances, challenges and the neglected question of sustainability","Plants","","","","https://www.mdpi.com/2223-7747/11/9/1153","Resources such as fertile soil and clean water are already limited in many parts of the world. Additionally, the conventional use of arable land is becoming increasingly difficult, which is further exacerbated by climate change. Soilless cultivation systems do not only offer the opportunity to save water and cultivate without soil but also the chance to open up urban areas such as residential rooftops for food production in close proximity to consumers. In this review, applications of soilless farming systems are identified and compared to conventional agriculture. Furthermore, aspects of economic viability, sustainability and current developments are investigated. An insight into the most important soilless farming systems—hydroponics, aquaponics and vertical farming—is provided. The systems are then differentiated from each other and, as far as possible, evaluated in terms of their environmental impact and compared with conventional cultivation methods. Comparing published data analyzing the yield of hydroponic cultivation systems in comparison to soil-based cultivation methods enables a basic overview of the profitability of both methods and, thus, lays the foundation for future research and practical applications. The most important inert substrates for hydroponic applications are presented, and their degree of sustainability is compared in order to emphasize environmental impacts and affect substrate selections of future projects. Based on an assessment of the most important soilless cultivation systems, the challenges and developments of current techniques are highlighted and discussed.","2022","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVU2XTSZ","journalArticle","2018","Mamun, MR Al; Rahman, S.; Shammi, S.","Production of red amaranth in a vertical farm and evaluation of its sustainability","GARJAS","","","","https://www.researchgate.net/profile/Muhammad-Rashed-Al-Mamun/publication/327337135_Production_of_Red_Amaranth_in_a_Vertical_Farm_and_Evaluation_of_its_Sustainability/links/5b8e5fbc299bf114b7f182ef/Production-of-Red-Amaranth-in-a-Vertical-Farm-and-Evaluation-of-its-Sustainability.pdf","World population has grown in the past few decades and will increase considerably in the following ones, especially in urban areas. Continued population growth leads to rapid urbanization which results in a decline in arable land, ongoing global climate change, water shortages and could change our view of traditional farming to highly efficient urban farms. This project encompasses the design, construction, and evaluation of a soil based vertical farm. The vertical farm contained six plots in three vertically layers. Each layer of the vertical farm, was elevated 2 feet higher than the below layers. Red amaranth was grown on the vertical farm to investigate the growing rate and sustainability of red amaranth in vertical farm. Evaluations have been done on the yield production of red amaranth and compared with horizontal farm. Production is compared on the basis of growing time, crop weight, crop length, root zone depth etc. Statistical analysis of the yield production showed that there was significant difference in yield production between different layers, and with horizontal layers. Most quality yields were grown (number of leaves 9, plant height 15 cm, plant weight 3.5 gm) in the uppermost layer of the structure. Lowest yield production (number of leaves 7, height of plant 10cm, weight of plant 1.5gm) was observed in lower layer. The elevation of the different layers did cause a noticeable difference in growth due to variation in light exposure. It was seen that weed infestation was zero. Also, insect infestation was not noticeable. The system was capable of producing high-quality red amaranth. Moreover, the construction of this vertical farm can be done by anyone with reasonable tool experience and the right set of tools. The adaptability of the vertical farm is also expected to increase among the unemployed youth and farmers, entrepreneurs and will generate more employment.","2018","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BGCWETLM","journalArticle","2023","Kumar, R.; Rathore, S.; Kundlas, K.; Rattan, S.; ...","Vertical farming and organic farming integration: a review","Advances in Resting …","","","10.1016/b978-0-323-99145-2.00002-1","https://www.sciencedirect.com/science/article/pii/B9780323991452000021","As the global population expands and food demand increases, the agricultural sector faces increased duress for better yield production. Furthermore, agricultural land is already lost due to urbanization infrastructure advancement, leading to farmland shortages. The artificial control of light, temperature, gases, and humidity allows indoor plant production. Vertical farming’s primary goal is to maximize crop output in a small space. Vertical farming has the potential to produce food in a climate-resilient manner while emitting no pesticides and fertilizers, additionally using reduced land and water than conventional farming. Vertical farming systems, particularly around heavily populated areas, can meet everyday consumer needs for fresh, nutritious products and, at the same time, also contribute to resilient food systems. This system at present grows a narrow crop range, such as vegetables, herbs, and fruits. However, successful vertical farming integration into conventional agriculture demands profitability improvement, efficient energy utilization, end-user acceptance, and communal policy. In the present chapter, vertical farming is discussed as an indoor multilayer crop production system, investigating future challenges in the area of plant growth, quality, environmental sustainability, automation, system control, and socioeconomic and policy-associated institutions must collaborate to make certain successful vertical farming and organic farming integration into future food systems.","2023","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NPSZWNX","journalArticle","2020","Wildeman, R.","Vertical farming: a future perspective or a mere conceptual idea? A comprehensive Life Cycle Analysis on the environmental impact of a vertical farm compared to …","","","","","http://essay.utwente.nl/83529/","It is expected that the population of the earth will keep rising in the coming decades, surpassing 9 billion in 2050. This rise in population causes pressure on agricultural land and food production, as well as global warming and resource depletion. In order to mitigate all these problems, food production per unit area has to be maximized and be as efficient and non-polluting as possible. Revolutionary techniques such as technological advancements in rural agriculture, greenhouses and urban agriculture are being studied to find possible solutions to the major problems at hand. One of these techniques in urban agriculture is called Vertical Farming (VF) - the urban farming of eatable crops inside a building with an ideal climate regulated by (semi) closed loop systems – and is believed to be the perfect solution to both the agricultural food problems and the climate change and resource depletion problems. To test this theory, this study creates and analyzes a fictive vertical farm in the state of Oklahoma USA, based on the local climate characteristics and peer-reviewed sources on vertical farming systems. With the use of a Life Cycle Analysis (LCA), the environmental impacts of the lettuce production in this farm are calculated and the results are compared to the rural agriculture of the same crop (located in California USA). This study shows that most of the claims made on the technique of vertical farming are in fact true. A vertical farm has a higher yield than rural agriculture, with more than 80 times the yield of open field agriculture, due to multiple harvests a year and a higher plant density, has a lower water footprint, with 18 times less water used, due to the semi-closed loop water system, has a lower freshwater pollution rate, with a eutrophication reduction of 70-90%, due to minor use of excessive fertilizers and has a major decrease in transport distance and thus a decrease CO2 emissions during transport. However, due to the large electricity demand to keep all high-end systems running in a VF, the CO2 emissions of a vertical farm are actually higher than that of rural agriculture. In fact, this high electricity use causes a lot of spikes in the graphs of almost all impact category, especially in the Terrestrial Acidification and the Land Footprint. Contrary to many beliefs, stating that the Land Footprint is only linked to the surface area in relation to plant density ratio, the Vertical Farm actually has a massive Land Footprint, due to the fact that electricity production and other production steps in the LCA also require a lot of land use. The results demonstrate that a Vertical Farm, just like any other agriculture technique, has its positives and negatives. Even though, it can help solve problems such as large food shortages and minimal water use, it has negative impacts elsewhere, in this case on land footprint, acidification of the ground and climate change. This study highlights the whole framework of a vertical farm and its characteristics, the positives and negatives of vertical farming and the importance of analyzing every step in a life cycle of a product or system. The thesis concludes by addressing the possibility of more efficient crop lay-outs and sustainable systems as well as the vertical farm’s potential in other fields of study such as extreme climates and aerospace.","2020","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","Publisher: essay.utwente.nl","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CEMAD28X","journalArticle","2018","Gerecsey, A.","Sustainable vertical farming outperforms other agricultural methods on CO2 outputs","OneFarm Report","","","","","The agricultural sector emits around six billion tonnes of GHGs in 2011 or about 13% of total global emissions. The agricultural sector is the world’s largest emitter, after the energy sector. (Russell, 2014)The report sets out a comparative life cycle assessment in five different agricultural systems from farm to distribution center for lettuce production. It demonstrates the potential of green vertical farming in mitigation and resilience of food production focusing on the CO2 emissions and resource use efficiency of different agricultural methods: green vertical farming, conventional vertical farming, advanced greenhouse, conventional greenhouse and open field agriculture. ­­The emission reduction from energy use improvements, renewable energy sources and full recycling of waste energy is at the core of the sustainable development solution in vertical farming. This represents up to 98% of total emission reductions to around 160 kgCO2eq for each ton of harvested lettuce as compared to 540 kgCO2eq for open field agriculture.","2018","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6S7A5KWQ","journalArticle","2020","Wen, X.","Earth as common ground-to compare, contrast, and connect permaculture and vertical farming","","","","","https://aaltodoc.aalto.fi/handle/123456789/101775","In the Helsinki metropolitan area, the first permaculture designed farm and the first vertical farm focusing on microgreen production were both registered as companies in 2016. Both concepts respond to the environmental damage caused by the abuse of pesticides and artificial fertilizers in conventional farming. Despite their current relatively small scale, their emergences are opening new paradigms for food production in Finland, which provide potential solutions to the environmental crises we are facing, including climate change, biodiversity loss, and land degradation. My master’s thesis combines ethnographic and action research to investigate permaculture and vertical farming practices and interpret sustainability from the perspective of food producers. By ethnographically studying routine, situated practices, the study investigates the values and knowledge embedded in both practices. The data originate from participant observation, interviews, and co-design workshops. Eco-modernism can be considered as the philosophical background of vertical farming. Although both public-facing discourses are built on the notion of environmental friendliness, permaculture and eco-modernism have drastically different perceptions of the relationships between human activities and nature. This work explores the mechanisms of permaculture and eco-modernism in practice. By comparing and contrasting permaculture with vertical farming, this thesis aims to reveal the complexity of sustainability. Multiple perspectives prevent the study from being constrained to one narrative. A relational ontology motivates the exploratory step to study the connection between permaculture and vertical farming through boundary objects. Two boundary objects were designed and utilised: growing media made of side streams; and mapping data on the geographical location of farms. Narrative analysis and thick description show the multiple layers of the concepts regarding sustainability, such as “local” and “organic”. Furthermore, the study shows that ethnographic research, co-design, and scientific exploration have great potential to benefit from each other. Further research includes more centralised research on how to identify and value the immeasurable contributions of farming practices.","2020","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","Publisher: aaltodoc.aalto.fi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VICC9UXX","journalArticle","2022","Oliveira, F. Baumont de; Bannon, S.; Evans, L.; ...","Pathways to net-zero farming: a carbon footprint comparison of vertical versus traditional agriculture","… in Vertical Farming …","","","10.17660/actahortic.2023.1369.15","https://www.actahort.org/books/1369/1369_15.htm","Agriculture is one of the leading causes of climate change, contributing nearly a quarter of global greenhouse gas emissions. Indoor vertical plant farming (VPF) is a novel form of agriculture offering space savings, water efficiency, and hyper-local production. A significant caveat is the associated CO2 emissions from energy consumption. We conduct a carbon life-cycle analysis of lettuce production comparing imports from a Spanish field-based farm with hydrogen fuel cell-powered vertical farm in a UK context. We examine the implications of energy source trade-offs and the effects of deforestation. Experimental data using blue hydrogen energy shows emissions for VPF as 3.79 kg CO2e kg-1 without and 4.45 kg CO2e kg-1 with the impact of deforestation considered. Associated emissions for field-based imported lettuce are 1.14 kg CO2e kg-1 and 5.05 kg CO2e kg-1 without and with deforestation, respectively. Sensitivity analysis of energy sources in VPF shows tidal energy reduces emissions to 1.57 kg CO2e kg-1 with deforestation considered, a third of the emissions from conventional agriculture. Wind, tidal and geothermal energies also show promise for low carbon footprints. The results show that VPF with renewable energy sources could provide a lower carbon footprint than imported lettuce from a field-based farm. We believe this is the first attempt to make such a comparison based on real-world data from a VPF and consideration of the effects of deforestation","2022","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E2E56QDE","journalArticle","2021","Sørensen, M. G.; Olsen, S. I.; Colley, T.","Comparing the Environmental Sustainability of Vertical and Conventional Wheat Farming Using Life Cycle Assessment","","","","10.20944/preprints202110.0153.v1","https://www.preprints.org/manuscript/202110.0153","Main purposes and research question: Wheat is the second largest grain crop by tonnage in the world and the largest in Denmark. Given the observed, adverse impacts on wheat yields of climate change and the importance of wheat in the human diet, the purpose of this study was to use life cycle assessment to compare conventional wheat farming with indoor vertical farming using hydroponics. Methods: Life Cycle Assessment was used to assess the base case systems up to the “farm gate” for 1 tonne of wheat grain. The processes contributing most of the impacts were identified, and scenarios were assessed to determine how much the impacts could be reduced. Results: The conventional system outperformed the base case vertical system in every impact category, due to the electricity consumption in the lighting system. The scenarios included increasing the efficiency of the LED lighting and using 100% wind energy, but the conventional system still outperformed the vertical system by significant margins in all impact categories. This was due to the low photosynthetic conversion efficiency and the high energy density of wheat. Conclusions: Until significant improvements are made to lighting efficiency, the photosynthesis conversion efficiency of wheat, new wheat variants designed for vertical gardens and the sustainability of electricity supply, conventional wheat production will be environmentally preferable and vertical gardens would be advised to focus on food products with low energy densities.","2021","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","Publisher: preprints.org","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQXJJWT9","journalArticle","2021","Rivington, M.; Dominic, D.; Burgess, P.; Beg, G.; Iannetta, P.; ...","Post-COVID-19 Land Use Options to Achieve Food Security, Healthy Diets and a Sustainable Environment.","","","","","https://researchonline.gcu.ac.uk/en/publications/post-covid-19-land-use-options-to-achieve-food-security-healthy-d","This report presents summary findings of a study looking at how the UK’s food production can align to enable development of a food system that better meets requirements for a healthy diet and a sustainable environment. The COVID-19 pandemic and post- EU exit recoveries present an opportunity to realign the food system with human health needs and sustainable, decarbonised production systems. Research uses four plausible scenarios (Scenarios for UK Food and Nutrition Security in the wake of the COVID-19 Pandemic) to explore the range of possible options using land use change, agroecological approaches, use of legumes and new cultivation technology e.g. vertical farming. This report is part of a series from the ESRC 'UK food and nutrition security during and after the COVID-9 pandemic (Grant ES/V004433/1).","2021","2023-11-07 10:55:30","2023-11-07 10:55:30","","","","","","","","","","","","","","","","","","","","","","Publisher: researchonline.gcu.ac.uk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
