"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6LT6BBVQ","book","2020","Haack, Michaela; Helen Engelhardt; Christin Gascoigne; Alexander Schrode; Meike Fienitz; Lutz Meyer-Ohlendorf","Nischen des Ernährungssystems: Bewertung des Nachhaltigkeits- und Transformationspotenzials innovativer Nischen des Ernährungssystems in Deutschland","","","","","https://www.umweltbundesamt.de/publikationen/nischen-ernaehrungssystem-deutschland","Das Forschungsprojekt ging der Frage nach, inwiefern sich aus der Transformationsforschung politische Handlungsansätze für tiefgreifende Veränderungen des Ernährungssystems in Richtung ⁠Nachhaltigkeit⁠ ableiten lassen. Nischen spielen eine wichtige Rolle in Transformationsprozessen. Daher fokussiert dieser Teilbericht auf die Ebene der Nischen des deutschen Ernährungssystems. Er trägt innovative Praktiken und Initiativen zusammen und beschreibt sie in Form von Steckbriefen. Zudem wurden sie danach eingeschätzt, was sie zur Verbesserung der Nachhaltigkeit beitragen und wie sehr sie transformierend wirken könnten. Diese Grundlage kann zur gezielten Förderung von Nischen genutzt werden.","2020-07-02","2023-08-03 18:43:17","2023-12-04 14:15:59","2023-08-03 18:43:17","","","","","","","Nischen des Ernährungssystems","","","","","Umweltbundesamt","","de","","","","","www.umweltbundesamt.de","New7","","","/home/nele/Zotero/storage/ELEET75B/Örtl - 2020 - Nischen des Ernährungssystems Bewertung des Nachh.pdf; /home/nele/Zotero/storage/8HD3A8IT/nischen-ernaehrungssystem-deutschland.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIGC8EYQ","journalArticle","2022","Casey, Leanne; Freeman, Ben; Francis, Kurt; Brychkova, Galina; McKeown, Peter; Spillane, Charles; Bezrukov, Andrey; Zaworotko, Michael; Styles, David","Comparative environmental footprints of lettuce supplied by hydroponic controlled-environment agriculture and field-based supply chains","Journal of Cleaner Production","","0959-6526","10.1016/j.jclepro.2022.133214","https://www.sciencedirect.com/science/article/pii/S0959652622028013","Attributional life cycle assessment was applied to determine environmental footprints of lettuce produced across ten supply chain configurations, based on either hydroponic closed-environment agriculture (CEA) with six different electricity sources, or field supply chains involving regional, continental or inter-continental transport. Hydroponic CEA systems use circa 15 kWh of electricity for lighting, cooling, ventilation and pumping per kg of lettuce supplied. Based on typical current national grid electricity generation mixes with significant fossil fuel dependence, this results in large environmental footprints, e.g. up to 17.8 kg CO2 eq. and 33 g N eq. per kg lettuce – compared with 10 kg CO2 eq. and 16 g N eq. per kg lettuce air-freighted across continents. However, hydroponic CEA can produce orders of magnitude more produce per m2.yr and can be integrated into existing buildings (e.g. on roof tops, in basements and disused warehouses, etc). Factoring in the carbon opportunity costs of land use, and meeting electricity requirements exclusively through renewable generation, could result in closed hydroponic CEA delivering produce with a smaller carbon footprint than most field-based supply chains, at 0.48 kg CO2 eq. per kg lettuce. However, this would only be the case where renewable electricity originates from genuinely additional capacity, and where a land use policy or other mechanisms ensure that modest areas of land spared from horticultural production are used for “nature based solutions” such as afforestation. Hydroponic CEA uses orders of magnitude less direct water than field-based systems, and could help to mitigate water stress and associated soil degradation in arid and semi-arid regions used for horticulture – so long as upstream water stress associated with electricity generation is mitigated. CEA could be one of the least sustainable forms of food production if poorly implemented, and has numerous environmental hotspots. But with careful design and scaling, in appropriate contexts of high demand and low agro-climatic potential for production of horticultural produce, CEA deployment could play a role in sustainable food system transformation, potentially helping to reconnect consumers with (urban) producers. There may be opportunities to link building air handling systems with rooftop or basement CEA requiring inputs of cooling, CO2 and water.","2022-10-01","2023-08-16 15:40:11","2023-09-24 14:39:37","2023-08-16 15:39:25","133214","","","369","","Journal of Cleaner Production","","","","","","","","","","","","","ScienceDirect","New4","","","/home/nele/Zotero/storage/ISQL5JZE/Casey et al. - 2022 - Comparative environmental footprints of lettuce su.pdf; /home/nele/Zotero/storage/KQAZ2U35/S0959652622028013.html","","","Carbon footprint; Food miles; Supply chain; Urban agriculture; Vertical farming; Water stress","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQYFMBWW","journalArticle","2022","Blom, T.; Jenkins, A.; Pulselli, R.M.; Van Den Dobbelsteen, A.A.J.F.","The embodied carbon emissions of lettuce production in vertical farming, greenhouse horticulture, and open-field farming in the Netherlands","Journal of Cleaner Production","","09596526","10.1016/j.jclepro.2022.134443","https://linkinghub.elsevier.com/retrieve/pii/S095965262204015X","Over the past decades, various farming methods have evolved in response to the global challenges of increasing food demands, decreasing availability of arable land, and climate change. One of these new farming methods is vertical farming. To understand the contribution of vertical farms to future sustainable food production, beyond its efficient land-use and high yields, this paper evaluates the current carbon footprint of lettuce produced in an operational vertical farm in comparison to conventional open-field farming and both soil-based and hydroponic greenhouse cultivation in the Netherlands. The assessment includes the greenhouse gas emissions of the life cycle of the farm and the crop, from cradle-to-grave. An alternative scenario is explored to include the lost carbon sequestration potential by land-use change, identical packaging for all farming methods, and renewable energy usage. The carbon footprint of the vertical farm was 5.6–16.7 times greater than that of the conventional farming methods in the baseline scenario and 2.3 to 3.3 times in the alternative scenario. The electricity demands of the vertical farm represented 85% of the carbon footprint in the baseline scenario and 66% in the alternative sce­ nario, suggesting that a significant reduction in electricity use is required to compete with conventional farming methods from a carbon footprint perspective. If this could be achieved, vertical farming could become a valid component of future sustainable and food secure systems by its efficient use of land, high yields, minimal use of water, nutrients, pesticides and herbicides, and the ability to be located within or adjacent to cities.","2022-12","2023-08-18 09:46:10","2023-09-24 14:39:22","2023-08-18 09:46:10","134443","","","377","","Journal of Cleaner Production","","","","","","","","en","","","","","DOI.org (Crossref)","New3","","","/home/nele/Zotero/storage/CTGTBEMT/Blom et al. - 2022 - The embodied carbon emissions of lettuce productio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFBXJT8Z","journalArticle","2020","Milestad, Rebecka; Carlsson-Kanyama, Annika; Schaffer, Christina","The Högdalen urban farm: a real case assessment of sustainability attributes","Food Security","","1876-4525","10.1007/s12571-020-01045-8","https://doi.org/10.1007/s12571-020-01045-8","While urban indoor farming is a fairly new phenomenon, there is a growing interest from producers, authorities and consumers alike. However, many assumptions are made, and expectations held, about urban indoor farming from a sustainability, food production and food provisioning point of view. These assumptions and expectations need to be tested and assessed. This study assessed greenhouse gas (GHG) emissions and a number of social aspects of a newly established indoor urban farm in Stockholm. The farm was the result of a project created by commercial, civil society and municipal actors with the aim to make use of unused urban space, create jobs and produce food. While lettuce grown on the indoor farm emitted more GHG than lettuce cultivated outdoors in Sweden, it was more climate friendly than imported lettuce in our comparison. Furthermore, the indoor farm created value for the actors involved and for the city district, albeit on a small scale. Many of the positive environmental and social features owed to the small scale of the indoor farm and the context in which it developed. Thus, when evaluating production systems like this one, we need to be cautious and refrain from extrapolating the results.","2020-12-01","2023-08-18 10:15:51","2023-09-24 14:37:02","2023-08-18 10:15:48","1461-1475","","6","12","","Food Sec.","The Högdalen urban farm","","","","","","","en","","","","","Springer Link","592","","","/home/nele/Zotero/storage/EB3LKNL8/Milestad et al. - 2020 - The Högdalen urban farm a real case assessment of.pdf","","","Indoor farming; Stockholm, Sweden.; Sustainable food production; Temperate areas; Urban agriculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXUXMUA3","journalArticle","2023","Newman, Lenore; Newell, Robert; Dring, Colin; Glaros, Alesandros; Fraser, Evan; Mendly-Zambo, Zsofia; Green, Arthur Gill; KC, Krishna Bahadur","Agriculture for the Anthropocene: novel applications of technology and the future of food","Food Security","","1876-4525","10.1007/s12571-023-01356-6","https://doi.org/10.1007/s12571-023-01356-6","The future of the food system is often framed as a choice between a ‘conventional’ and an ‘alternative’ system of agriculture. This framing reflects a decades-long debate between opposing worldviews around agricultural paradigms, and it has constrained conversations regarding the creation of a sustainable global food system. Globally, agricultural production is diverse, and outcomes are achieved via a combination of several production systems. However, emerging technologies over the past 10 years are now being applied across agricultural systems resulting in enabling novel approaches to production. This paper explores the challenges and opportunities of integrating emerging technologies and food production approaches (e.g., digital agriculture, genomic innovations, cellular agriculture, hydroponic farming) and coupling these with industrial and urban design principles (e.g., industrial ecology, mixed-use densification). We characterize a high-yield, local (HYL) agriculture approach, which involves shorter supply chains, decentralized control of the food system, and potentially reduced land use as well as a lower environmental footprint. The paper concludes with a discussion on how the HYL approach will vary depending on the geographical and place-based contexts in which it is implemented. It identifies key policy opportunities and considerations for ensuring HYL agriculture can support transitions to sustainable food systems, including climate change mitigation, habitat and biodiversity conservation, safety and nutrition standards, public communications, and labour and economy., resulting in a novel element to be incorporated into the ‘portfolio’ of agricultural strategies.","2023-06-01","2023-08-18 10:17:48","2023-09-24 14:39:56","2023-08-18 10:17:46","613-627","","3","15","","Food Sec.","Agriculture for the Anthropocene","","","","","","","en","","","","","Springer Link","New5","","","/home/nele/Zotero/storage/R3Y4NEJ4/Newman et al. - 2023 - Agriculture for the Anthropocene novel applicatio.pdf","","","Agricultural paradigms; Agricultural technologies; Local agriculture; Policy; Sustainable food systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MFM25K4L","journalArticle","2023","Sandison, Frances; Yeluripati, Jagadeesh; Stewart, Derek","Does green vertical farming offer a sustainable alternative to conventional methods of production?: A case study from Scotland","Food and energy security","","2048-3694","10.1002/fes3.438","","Climate change is an existential global reality that is placing considerable stress on agriculture sectors. With the recognition of the impacts of climate change on food security, there has been a greater uptake of controlled environment agriculture (CEA) to provide climate‐resilient and high‐quality production. Vertical farming (VF) can allow primary production in urban locations as well as reducing seasonality and variability in produce. It is emerging as an alternative to traditional farming methods. This research aimed to explore the major environmental impacts of VF produce in comparison with conventional farming methods, using lettuce as an example crop. Life cycle analysis indicate that electricity consumption by VF account for 91% of the carbon footprint. Under the 2019 Scottish electricity mix, VF did not offer a viable competitor for UK open‐farmed lettuce or Spanish imports in terms of low greenhouse gas emissions (at approximately 1.49 kgCO2 eq. kg−1). However, with increasing use of renewable electricity in the national mix, by 2020, this had dropped to 0.42 kgCO2 eq. kg−1 making it comparable with UK open‐field agriculture (at approximately 0.46 kgCO2 eq. kg−1). Under a 100% renewable electricity generation scenario, VF‐related emissions drop further (to 0.33 kgCO2 eq. kg−1). This would potentially offer a low‐carbon production method not subject to seasonality which is better than that reported by most other production methods and offers higher water and nutrient efficiency. This research highlights green VF as potential alternative for sustainable future produce especially under changing climate scenarios. Life cycle analysis using lettuce as an example crop indicate that electricity consumption by VF account for 91% of the carbon footprint. Under the 2020 Scottish electricity mix, vertical farming was seen to be comparable with UK open‐field agriculture in environmental impacts. This lowers further under a 100% renewable electricity generation scenario, offer a low carbon production method and a potential alternative for sustainable future produce.","2023","2023-08-18 10:29:31","2023-09-24 14:39:12","","n/a","","2","12","","","Does green vertical farming offer a sustainable alternative to conventional methods of production?","","","","","","","eng","","","","","ec-europa-finder.primo.exlibrisgroup.com","New2","Place: Bognor Regis Publisher: John Wiley & Sons, Inc","","/home/nele/Zotero/storage/PC5ZYJBU/Sandison et al. - 2023 - Does green vertical farming offer a sustainable al.pdf","","","Agricultural practices; Agriculture; Carbon; Carbon footprint; Climate change; Consumption; Electricity; Electricity consumption; Emissions; Environmental impact; Farm buildings; Farming; Food; Food security; Greenhouse effect; Greenhouse gases; Imports; Lettuce; Life cycle; Life cycle analysis; Life cycles; Lighting; Methods; Primary production; Production methods; renewable energy; Seasonal variations; Seasonality; Sustainability; Traditional farming; Uptake; Urban areas; Vertical farming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2RC2WWH","journalArticle","2023","Csambalik, L.; Divéky-Ertsey, A.; Gál, I.; Madaras, K.; ...","Sustainability Perspectives of Organic Farming and Plant Factory Systems—From Divergences towards Synergies","Horticulturae","","","10.3390/horticulturae9080895","https://www.mdpi.com/2311-7524/9/8/895","Closed plant production systems are generally considered sustainable. Such systems are capable of minimizing externalities due to resource recycling. There are two systems, apparently diverging, recently considered as the counterparts of today’s conventional agricultural practice: organic farming (OF) and plant factories (PFs). With a strong regulatory background, OF integrates plant production into natural ecosystems by minimizing agrochemical use, while PFs create an artificial environment where all factors can be fine-tuned according to the needs of the crop. In this study, both systems are investigated based on their similarities and constraints; for this, three pillars of production were selected as indicators and reviewed for sustainability based on literature data: I. regulatory background, II. growing media use, III. species use, along with certain socio-economic factors. The reasons for co-existence were highlighted in every aspect. Alternatives for sustainable growing media use are introduced. PF-targeted species selection and variety breeding are necessary to maximize facility utilization. The main barriers to system interoperability are identified in growing media use and regulatory restrictions. The present global processes envisage the trends of the future, such as threats of living ecosystems, plant species allocation, urbanization impacts, agricultural intensification, economics of PFs, local supply chains, education about OF and PFs, consumer acceptance of OF and PF products, and discrepancies in global regulations. These aspects will certainly trigger further research in the scientific community","2023","2023-09-23 15:58:04","2023-09-24 08:27:07","","","","","","","","","","","","","","","","","","","","","35","","","/home/nele/Zotero/storage/B9QLYNHY/Csambalik et al. - 2023 - Sustainability Perspectives of Organic Farming and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AI3TVZ54","journalArticle","2022","Fussy, A.; Papenbrock, J.","An overview of soil and soilless cultivation techniques—chances, challenges and the neglected question of sustainability","Plants","","","","https://www.mdpi.com/2223-7747/11/9/1153","Resources such as fertile soil and clean water are already limited in many parts of the world. Additionally, the conventional use of arable land is becoming increasingly difficult, which is further exacerbated by climate change. Soilless cultivation systems do not only offer the opportunity to save water and cultivate without soil but also the chance to open up urban areas such as residential rooftops for food production in close proximity to consumers. In this review, applications of soilless farming systems are identified and compared to conventional agriculture. Furthermore, aspects of economic viability, sustainability and current developments are investigated. An insight into the most important soilless farming systems—hydroponics, aquaponics and vertical farming—is provided. The systems are then differentiated from each other and, as far as possible, evaluated in terms of their environmental impact and compared with conventional cultivation methods. Comparing published data analyzing the yield of hydroponic cultivation systems in comparison to soil-based cultivation methods enables a basic overview of the profitability of both methods and, thus, lays the foundation for future research and practical applications. The most important inert substrates for hydroponic applications are presented, and their degree of sustainability is compared in order to emphasize environmental impacts and affect substrate selections of future projects. Based on an assessment of the most important soilless cultivation systems, the challenges and developments of current techniques are highlighted and discussed.","2022","2023-09-23 15:58:04","2023-09-24 08:27:27","","","","","","","","","","","","","","","","","","","","","73","","","/home/nele/Zotero/storage/9Y7BQJUE/Fussy und Papenbrock - 2022 - An overview of soil and soilless cultivation techn.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LCWRN6Y","journalArticle","2020","Wildeman, R.","Vertical farming: a future perspective or a mere conceptual idea? A comprehensive Life Cycle Analysis on the environmental impact of a vertical farm compared to …","","","","","http://essay.utwente.nl/83529/","It is expected that the population of the earth will keep rising in the coming decades, surpassing 9 billion in 2050. This rise in population causes pressure on agricultural land and food production, as well as global warming and resource depletion. In order to mitigate all these problems, food production per unit area has to be maximized and be as efficient and non-polluting as possible. Revolutionary techniques such as technological advancements in rural agriculture, greenhouses and urban agriculture are being studied to find possible solutions to the major problems at hand. One of these techniques in urban agriculture is called Vertical Farming (VF) - the urban farming of eatable crops inside a building with an ideal climate regulated by (semi) closed loop systems – and is believed to be the perfect solution to both the agricultural food problems and the climate change and resource depletion problems. To test this theory, this study creates and analyzes a fictive vertical farm in the state of Oklahoma USA, based on the local climate characteristics and peer-reviewed sources on vertical farming systems. With the use of a Life Cycle Analysis (LCA), the environmental impacts of the lettuce production in this farm are calculated and the results are compared to the rural agriculture of the same crop (located in California USA). This study shows that most of the claims made on the technique of vertical farming are in fact true. A vertical farm has a higher yield than rural agriculture, with more than 80 times the yield of open field agriculture, due to multiple harvests a year and a higher plant density, has a lower water footprint, with 18 times less water used, due to the semi-closed loop water system, has a lower freshwater pollution rate, with a eutrophication reduction of 70-90%, due to minor use of excessive fertilizers and has a major decrease in transport distance and thus a decrease CO2 emissions during transport. However, due to the large electricity demand to keep all high-end systems running in a VF, the CO2 emissions of a vertical farm are actually higher than that of rural agriculture. In fact, this high electricity use causes a lot of spikes in the graphs of almost all impact category, especially in the Terrestrial Acidification and the Land Footprint. Contrary to many beliefs, stating that the Land Footprint is only linked to the surface area in relation to plant density ratio, the Vertical Farm actually has a massive Land Footprint, due to the fact that electricity production and other production steps in the LCA also require a lot of land use. The results demonstrate that a Vertical Farm, just like any other agriculture technique, has its positives and negatives. Even though, it can help solve problems such as large food shortages and minimal water use, it has negative impacts elsewhere, in this case on land footprint, acidification of the ground and climate change. This study highlights the whole framework of a vertical farm and its characteristics, the positives and negatives of vertical farming and the importance of analyzing every step in a life cycle of a product or system. The thesis concludes by addressing the possibility of more efficient crop lay-outs and sustainable systems as well as the vertical farm’s potential in other fields of study such as extreme climates and aerospace.","2020","2023-09-23 15:58:04","2023-09-24 08:28:54","","","","","","","","","","","","","","","","","","","","","218","Publisher: essay.utwente.nl","","/home/nele/Zotero/storage/MB7P4U3L/Wildeman - 2020 - Vertical farming a future perspective or a mere c.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27I5M6FS","journalArticle","2021","Sørensen, M. G.; Olsen, S. I.; Colley, T.","Comparing the Environmental Sustainability of Vertical and Conventional Wheat Farming Using Life Cycle Assessment","","","","10.20944/preprints202110.0153.v1","https://www.preprints.org/manuscript/202110.0153","Main purposes and research question: Wheat is the second largest grain crop by tonnage in the world and the largest in Denmark. Given the observed, adverse impacts on wheat yields of climate change and the importance of wheat in the human diet, the purpose of this study was to use life cycle assessment to compare conventional wheat farming with indoor vertical farming using hydroponics. Methods: Life Cycle Assessment was used to assess the base case systems up to the “farm gate” for 1 tonne of wheat grain. The processes contributing most of the impacts were identified, and scenarios were assessed to determine how much the impacts could be reduced. Results: The conventional system outperformed the base case vertical system in every impact category, due to the electricity consumption in the lighting system. The scenarios included increasing the efficiency of the LED lighting and using 100% wind energy, but the conventional system still outperformed the vertical system by significant margins in all impact categories. This was due to the low photosynthetic conversion efficiency and the high energy density of wheat. Conclusions: Until significant improvements are made to lighting efficiency, the photosynthesis conversion efficiency of wheat, new wheat variants designed for vertical gardens and the sustainability of electricity supply, conventional wheat production will be environmentally preferable and vertical gardens would be advised to focus on food products with low energy densities.","2021","2023-09-23 15:58:04","2023-09-24 08:34:37","","","","","","","","","","","","","","","","","","","","","350","Publisher: preprints.org","","/home/nele/Zotero/storage/ZNA5U53Z/Sørensen et al. - 2021 - Comparing the Environmental Sustainability of Vert.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
